year,state,region_type,region,crop_category,total_area_grown_ha,irrigated_area_ha,water_applied_ml,water_intensity_ml_per_ha,agricultural_businesses_estimate,source,notes
2020-21,NSW,NRM,Central Tablelands,Grains & Oilseeds,140237.63,347.35,613.74,1.767,4.14,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included
2020-21,NSW,NRM,Central Tablelands,Pasture & Livestock Feed,1324425.03,5719.01,17182.76,3.004,103.68,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories
2020-21,NSW,NRM,Central Tablelands,Vegetables,1673.3,1338.92,3588.38,2.68,19.73,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Central Tablelands,Grapes & Vineyards,2489.05,2283,2084.23,0.913,51.34,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Central Tablelands,Fruit & Nuts,989.97,599.94,2680.91,4.469,38.3,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Central Tablelands,Cotton,276.74,276.74,2090.76,7.555,2.73,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Central Tablelands,Rice,12.97,12.97,64.85,5,0.11,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Central West,Grains & Oilseeds,1655533.79,8555.27,18260.5,2.134,33.84,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included
2020-21,NSW,NRM,Central West,Pasture & Livestock Feed,4133351.89,9449.06,26526.67,2.807,122.56,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories
2020-21,NSW,NRM,Central West,Vegetables,903.62,668.51,1892.72,2.831,8.68,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Central West,Grapes & Vineyards,337.17,39.71,23.91,0.602,2.37,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Central West,Fruit & Nuts,356.35,243.05,1082.07,4.452,10.11,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Central West,Cotton,22867.58,22252.43,144362.37,6.487,69.8,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Central West,Rice,262.82,262.82,2223.6,8.461,2.41,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Greater Sydney,Grains & Oilseeds,464.27,31.73,52.83,1.665,1.59,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included
2020-21,NSW,NRM,Greater Sydney,Pasture & Livestock Feed,34851.9,2655.65,5991.63,2.256,72.61,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories
2020-21,NSW,NRM,Greater Sydney,Vegetables,3464.75,2579.21,15943.5,6.182,382.78,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Greater Sydney,Grapes & Vineyards,86.08,74.04,102.44,1.384,3.04,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Greater Sydney,Fruit & Nuts,948.56,794.97,2017.25,2.538,86.96,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Greater Sydney,Cotton,0,0,0,,,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Greater Sydney,Rice,0,0,0,,,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,NRM,Hunter,Grains & Oilseeds,11376.72,72.41,53.86,0.744,3.96,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included
2020-21,NSW,NRM,Hunter,Pasture & Livestock Feed,876961.14,17358.77,36434.7,2.099,311.17,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories
2020-21,NSW,NRM,Hunter,Vegetables,170.73,116.74,190.28,1.63,16.28,ABS Water Use on Australian Farms 2020-21,
