year,state,region_type,region,crop_category,total_area_grown_ha,irrigated_area_ha,water_applied_ml,water_intensity_ml_per_ha,agricultural_businesses_estimate,source,notes,region_key,water_source,awd_ml_per_share,carry_over_ml_per_share,cumulative_allocation_ml_per_share,total_balance_ml_per_share,storage_value
2020-21,nsw,nrm,central tablelands,grains & oilseeds,140237.63,347.35,613.74,1.767,4.14,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2020-21,nsw,nrm,central tablelands,pasture & livestock feed,1324425.03,5719.01,17182.76,3.004,103.68,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2020-21,nsw,nrm,central tablelands,vegetables,1673.3,1338.92,3588.38,2.68,19.73,ABS Water Use on Australian Farms 2020-21,,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2020-21,nsw,nrm,central tablelands,grapes & vineyards,2489.05,2283.0,2084.23,0.913,51.34,ABS Water Use on Australian Farms 2020-21,,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2020-21,nsw,nrm,central tablelands,fruit & nuts,989.97,599.94,2680.91,4.469,38.3,ABS Water Use on Australian Farms 2020-21,,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2020-21,nsw,nrm,central tablelands,cotton,276.74,276.74,2090.76,7.555,2.73,ABS Water Use on Australian Farms 2020-21,,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2020-21,nsw,nrm,central tablelands,rice,12.97,12.97,64.85,5.0,0.11,ABS Water Use on Australian Farms 2020-21,,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2020-21,nsw,nrm,central west,grains & oilseeds,1655533.79,8555.27,18260.5,2.134,33.84,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included,central_west,macquarie,0.0,0.4,0.0,0.4,0
2020-21,nsw,nrm,central west,pasture & livestock feed,4133351.89,9449.06,26526.67,2.807,122.56,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories,central_west,macquarie,0.0,0.4,0.0,0.4,0
2020-21,nsw,nrm,central west,vegetables,903.62,668.51,1892.72,2.831,8.68,ABS Water Use on Australian Farms 2020-21,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2020-21,nsw,nrm,central west,grapes & vineyards,337.17,39.71,23.91,0.602,2.37,ABS Water Use on Australian Farms 2020-21,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2020-21,nsw,nrm,central west,fruit & nuts,356.35,243.05,1082.07,4.452,10.11,ABS Water Use on Australian Farms 2020-21,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2020-21,nsw,nrm,central west,cotton,22867.58,22252.43,144362.37,6.487,69.8,ABS Water Use on Australian Farms 2020-21,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2020-21,nsw,nrm,central west,rice,262.82,262.82,2223.6,8.461,2.41,ABS Water Use on Australian Farms 2020-21,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2020-21,nsw,nrm,greater sydney,grains & oilseeds,464.27,31.73,52.83,1.665,1.59,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included,greater_sydney,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,greater sydney,pasture & livestock feed,34851.9,2655.65,5991.63,2.256,72.61,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories,greater_sydney,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,greater sydney,vegetables,3464.75,2579.21,15943.5,6.182,382.78,ABS Water Use on Australian Farms 2020-21,,greater_sydney,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,greater sydney,grapes & vineyards,86.08,74.04,102.44,1.384,3.04,ABS Water Use on Australian Farms 2020-21,,greater_sydney,murray,0.03,0.24,0.15,0.39,0
2020-21,nsw,nrm,greater sydney,fruit & nuts,948.56,794.97,2017.25,2.538,86.96,ABS Water Use on Australian Farms 2020-21,,greater_sydney,murray,0.03,0.24,0.15,0.39,0
