water_source,licence_category,water_year,date,awd_ml_per_share,carry_over_ml_per_share,cumulative_allocation_ml_per_share,total_balance_ml_per_share
lachlan,regulated river (general security),2026-27,1/7/2026,0,0.59,0,0.59
lachlan,regulated river (general security),2026-27,10/8/2026,0.04,0.59,0.04,0.63
lachlan,regulated river (general security),2025-26,1/7/2025,0,0.81,0,0.81
lachlan,regulated river (general security),2025-26,8/7/2025,0.03,0.81,0.03,0.84
lachlan,regulated river (general security),2025-26,8/8/2025,0.09,0.81,0.12,0.93
lachlan,regulated river (general security),2025-26,9/10/2025,0.08,0.81,0.2,1.01
lachlan,regulated river (general security),2025-26,10/11/2025,0.02,0.81,0.22,1.03
macquarie,regulated river (general security),2026-27,1/7/2026,0,0.4,0,0.4
macquarie,regulated river (general security),2025-26,1/7/2025,0,0.68,0,0.68
macquarie,regulated river (general security),2025-26,10/7/2025,0.1,0.68,0.1,0.78
macquarie,regulated river (general security),2025-26,12/8/2025,0.06,0.68,0.16,0.84
macquarie,regulated river (general security),2025-26,13/10/2025,0.11,0.68,0.27,0.95
macquarie,regulated river (general security),2025-26,12/11/2025,0.03,0.68,0.3,0.98
macquarie,regulated river (general security),2025-26,10/12/2025,0.01,0.68,0.31,0.99
murray,regulated river (general security),2026-27,1/7/2026,0,0.24,0,0.24
murray,regulated river (general security),2026-27,15/7/2026,0.05,0.24,0.05,0.29
murray,regulated river (general security),2026-27,3/8/2026,0.07,0.24,0.12,0.36
murray,regulated river (general security),2026-27,17/8/2026,0.03,0.24,0.15,0.39
murray,regulated river (general security),2025-26,1/7/2025,0.01,0.31,0.01,0.32
murray,regulated river (general security),2025-26,1/8/2025,0.01,0.31,0.02,0.33
murray,regulated river (general security),2025-26,15/8/2025,0.01,0.31,0.03,0.34
murray,regulated river (general security),2025-26,1/9/2025,0.02,0.31,0.05,0.36
murray,regulated river (general security),2025-26,15/9/2025,0.05,0.31,0.1,0.41
murray,regulated river (general security),2025-26,1/10/2025,0.08,0.31,0.18,0.49
murray,regulated river (general security),2025-26,3/11/2025,0.02,0.31,0.2,0.51
murray,regulated river (general security),2025-26,15/4/2026,0.02,0.31,0.22,0.53
murrumbidgee,regulated river (general security),2026-27,1/7/2026,0,0.15,0,0.15
murrumbidgee,regulated river (general security),2026-27,15/7/2026,0.16,0.15,0.16,0.31
murrumbidgee,regulated river (general security),2026-27,3/8/2026,0.06,0.15,0.22,0.37
murrumbidgee,regulated river (general security),2026-27,17/8/2026,0.05,0.15,0.27,0.42
murrumbidgee,regulated river (general security),2025-26,1/7/2025,0.04,0.16,0.04,0.2
murrumbidgee,regulated river (general security),2025-26,15/7/2025,0.05,0.16,0.09,0.25
murrumbidgee,regulated river (general security),2025-26,1/8/2025,0.06,0.16,0.15,0.31
murrumbidgee,regulated river (general security),2025-26,15/8/2025,0.04,0.16,0.19,0.35
murrumbidgee,regulated river (general security),2025-26,1/9/2025,0.02,0.16,0.21,0.37
murrumbidgee,regulated river (general security),2025-26,15/9/2025,0.06,0.16,0.27,0.43
murrumbidgee,regulated river (general security),2025-26,1/10/2025,0.05,0.16,0.32,0.48
gwydir,regulated river (general security),2026-27,1/7/2026,0,0.86,0,0.86
gwydir,regulated river (general security),2025-26,1/7/2025,0,0.7,0,0.7
gwydir,regulated river (general security),2025-26,7/8/2025,0.13,0.7,0.13,0.83
gwydir,regulated river (general security),2025-26,5/9/2025,0.48,0.7,0.5,1.2
gwydir,regulated river (general security),2025-26,8/10/2025,0.06,0.7,0.55,1.25
lower_darling,regulated river (general security),2026-27,1/7/2026,0.3,0.02,0.3,0.32
lower_darling,regulated river (general security),2025-26,1/7/2025,1,0.01,0.99,1
lower_namoi,regulated river (general security),2026-27,1/7/2026,0,1.46,0,1.46
lower_namoi,regulated river (general security),2025-26,1/7/2025,0,1.47,0,1.47
lower_namoi,regulated river (general security),2025-26,7/7/2025,0.05,1.47,0.05,1.52
lower_namoi,regulated river (general security),2025-26,7/8/2025,0.35,1.47,0.33,1.8
lower_namoi,regulated river (general security),2025-26,5/9/2025,0.58,1.47,0.64,2.11
lower_namoi,regulated river (general security),2025-26,5/12/2025,0.02,1.47,0.65,2.12
lower_namoi,regulated river (general security),2025-26,12/1/2026,0.06,1.47,0.7,2.17
lower_namoi,regulated river (general security),2025-26,6/2/2026,0.06,1.47,0.76,2.22
